name,Unnamed: 0,mapp,Mmax,Host_Name,ra,dec,z,subtype,Phot,Spec,Radio,X-ray,dist,buildup,decay,date,mabs,type,commentary,importance,teff_val,mass
SN2003em,27428,16.7,-17.1,ESO 478-G6,32.33430833333333,-22.58527037037037,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2003-05-27,27.27095158654399,supernova, ,0,,
SN1953E,36908,19.5,-14.3,MCG +05-55-36,353.4199722222222,30.03714814814815,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1953-12-07,30.070951586543988,supernova, ,0,,
SN1993W,26355,16.0,-18.5,A232940-0302,352.4168541666667,-2.9595159722222224,0.018000000000000002,II,1.0,3.0,,,0.07687934644025167,20,70,1993-08-18,26.570951586543988,supernova, ,0,,
PSN J17285509-6609103,30989,17.6,-16.9,ESO 102-G6,7.229583333333334,-65.84715277777778,0.018000000000000002,II,1.0,1.0,,,0.07687934644025167,20,70,2013-08-27,28.17095158654399,supernova, ,0,,
ASASSN-13cj,29302,15.3,-19.2,CGCG 051-075,244.2959375,4.554081666666667,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2013-08-27,25.87095158654399,supernova, ,0,,
SN2001dj,24642,17.7,-16.8,NGC 180,9.4675,8.6425,0.018000000000000002,II,2.0,,,,0.07687934644025167,20,70,2001-07-29,28.27095158654399,supernova, ,0,,
SN2006dj,28346,18.9,-15.6,UGC 12287,14.845416666666667,53.73605833333333,0.018000000000000002,Ib,1.0,,,,0.07687934644025167,20,70,2006-06-05,29.470951586543986,supernova, ,0,,
AT2016geq,32774,17.8,-16.7,MRK 0930S,352.99383333333327,28.94769444444445,0.018000000000000002,Candidate,1.0,,,,0.07687934644025167,20,100,2016-09-09,28.37095158654399,supernova, ,0,,
ASASSN-18nt,32694,17.2,-17.3,Abell 0194,21.46679444444445,-0.6328725000000001,0.018000000000000002,Ia-91bg,1.0,,,,0.07687934644025167,19,60,2018-06-21,27.77095158654399,supernova, ,0,,
SN1999eb,26778,16.2,-17.8,NGC 664,25.5496875,4.065907407407408,0.018000000000000002,II,1.0,6.0,,,0.07687934644025167,20,70,1999-10-02,26.77095158654399,supernova, ,0,,
Gaia18big,5821,16.34,-18.2,UGC 10858,335.76,50.55199351851852,0.018000000000000002,,21.0,,,,0.07687934644025167,20,100,2018-05-24,26.910951586543987,supernova, ,0,,
SN2014dp,32388,16.8,-17.7,ESO 562-G3,4.908333333333333,-21.42925,0.018000000000000002,Ib,1.0,1.0,,,0.07687934644025167,20,70,2014-09-28,27.37095158654399,supernova, ,0,,
SN2014dj,32383,17.0,-17.5,NGC 317B,14.4175,43.7935201388889,0.018000000000000002,Ic,1.0,1.0,,,0.07687934644025167,20,70,2014-09-24,27.570951586543988,supernova, ,0,,
