name,Unnamed: 0,ra,dec,dist,nplanets,date,mabs,mapp,type,commentary,subtype,importance,teff_val,mass
HD 101930,215,175.875458,-58.006886,3.0499999999999995e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 29021,3099,69.46759,60.676196999999995,3.06e-08,1,01/01/2017,,,exoplanet, ,,0,,
HD 89307,1774,154.588699,12.621108,3.09e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 50554,147,103.678436,24.245558,3.1e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 162020,460,267.659821,-40.318348,3.1299999999999996e-08,1,01/01/2002,,,exoplanet, ,,0,,
HIP 75458,1783,231.232391,58.966064,3.1299999999999996e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 22781,137,55.20635600000001,31.826290000000004,3.18e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 92788,1775,160.702209,-2.1837560000000003,3.23e-08,1,01/01/2000,,,exoplanet, ,,0,,
HD 81040,190,140.946198,20.364454000000002,3.26e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 45364,1752,96.41031600000001,-31.480953000000003,3.26e-08,2,01/01/2008,,,exoplanet, ,,0,,
HD 10697,114,26.232603000000005,20.083149,3.26e-08,1,01/01/1999,,,exoplanet, ,,0,,
HD 63765,186,116.95716100000001,-54.26414499999999,3.26e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 4208,94,11.111042999999999,-26.51568,3.27e-08,1,01/01/2001,,,exoplanet, ,,0,,
HD 111998,3319,193.296494,-3.5530980000000003,3.27e-08,1,01/01/2016,,,exoplanet, ,,0,,
HD 196885,748,309.966156,11.249649,3.3e-08,1,01/01/2007,,,exoplanet, ,,0,,
HD 197037,1722,309.887329,42.24855,3.3e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 117207,266,202.337967,-35.570995,3.3e-08,1,01/01/2004,,,exoplanet, ,,0,,
HD 37124,129,84.260361,20.730787,3.32e-08,3,01/01/2005,,,exoplanet, ,,0,,
HD 216435,564,343.408051,-48.598286,3.33e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 40979,159,91.124763,44.260445000000004,3.33e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 46375,166,98.30259699999999,5.462925,3.34e-08,1,01/01/2000,,,exoplanet, ,,0,,
HD 141937,355,238.07312000000002,-18.436066,3.35e-08,1,01/01/2002,,,exoplanet, ,,0,,
HR 2562,3315,102.504227,-60.249145999999996,3.3599999999999996e-08,1,01/01/2016,,,exoplanet, ,,0,,
HD 85390,1771,147.51040600000005,-49.790268,3.4e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 11964,2630,29.290026,-10.242428,3.4e-08,2,01/01/2005,,,exoplanet, ,,0,,
K2-18,3372,172.56045500000005,7.5883910000000006,3.4e-08,2,01/01/2017,,,exoplanet, ,,0,,
HD 142415,2697,239.419968,-60.200256,3.46e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 23079,136,54.929562,-52.915836,3.46e-08,1,01/01/2001,,,exoplanet, ,,0,,
HD 114729,264,198.184402,-31.873347999999996,3.5e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 32963,759,76.982353,26.327963,3.52e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 156279,2708,258.09668,63.352093,3.54e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 20782,133,50.014908,-28.854071,3.55e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 65216,171,118.422173,-63.647324,3.56e-08,2,01/01/2003,,,exoplanet, ,,0,,
Kepler-444,2433,289.752289,41.634605,3.5699999999999995e-08,5,01/01/2015,,,exoplanet, ,,0,,
HD 63454,1755,114.841049,-78.27896899999998,3.58e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 142022 A,359,242.562592,-84.231613,3.59e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 7199,77,17.696762,-66.188164,3.59e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 16141,99,38.833034999999995,-3.560602,3.59e-08,1,01/01/2000,,,exoplanet, ,,0,,
2MASS J01225093-2439505,592,20.712243,-24.664049,3.6e-08,1,01/01/2013,,,exoplanet, ,,0,,
HD 45652,165,97.304962,10.933891000000001,3.61e-08,1,01/01/2008,,,exoplanet, ,,0,,
HD 141399,2990,236.72422799999998,46.986263,3.62e-08,4,01/01/2014,,,exoplanet, ,,0,,
HD 169830,468,276.956177,-29.816865999999997,3.63e-08,2,01/01/2003,,,exoplanet, ,,0,,
HD 106515 A,248,183.77735900000002,-7.257327,3.64e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 73256,1763,129.095901,-30.037626,3.6499999999999996e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 42012,3098,92.485275,34.1353,3.71e-08,1,01/01/2017,,,exoplanet, ,,0,,
HD 12661,119,31.142865999999998,25.414305,3.72e-08,2,01/01/2002,,,exoplanet, ,,0,,
HD 195019,746,307.0776370000001,18.769497,3.7400000000000004e-08,1,01/01/1998,,,exoplanet, ,,0,,
HD 106252,2620,183.37295500000002,10.041638,3.7400000000000004e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 113337,2626,195.445526,63.610226000000004,3.7400000000000004e-08,1,01/01/2013,,,exoplanet, ,,0,,
BD-17 63,675,7.142942,-16.226345000000002,3.75e-08,1,01/01/2008,,,exoplanet, ,,0,,
HD 38283,152,84.258408,-73.699341,3.78e-08,1,01/01/2010,,,exoplanet, ,,0,,
HAT-P-11,965,297.70935099999997,48.080856,3.78e-08,2,01/01/2008,,,exoplanet, ,,0,,
HD 47186,1728,99.036613,-27.622296999999996,3.78e-08,2,01/01/2008,,,exoplanet, ,,0,,
HD 168443,466,275.016388,-9.595722,3.79e-08,2,01/01/2000,,,exoplanet, ,,0,,
HD 216770,566,343.973785,-26.658764,3.79e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 164604,2715,270.7789,-28.560644,3.7999999999999996e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 117618,2629,203.10647600000001,-47.271361999999996,3.7999999999999996e-08,1,01/01/2004,,,exoplanet, ,,0,,
HD 8673,1773,21.536604,34.5797,3.83e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 137388 A,354,233.91636699999998,-80.20459,3.85e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 7449,102,18.622173,-5.0473870000000005,3.85e-08,1,01/01/2011,,,exoplanet, ,,0,,
gam 1 Leo,579,154.993149,19.841488000000002,3.85e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 108147,250,186.44278,-64.022087,3.86e-08,1,01/01/2002,,,exoplanet, ,,0,,
Kepler-42,1158,292.219033,44.61916,3.87e-08,3,01/01/2011,,,exoplanet, ,,0,,
bet UMi,642,222.67636099999999,74.155502,3.88e-08,1,01/01/2014,,,exoplanet, ,,0,,
HD 89744,197,155.544006,41.22953,3.9e-08,1,01/01/1999,,,exoplanet, ,,0,,
HD 10180,111,24.473233999999998,-60.51152800000001,3.9e-08,6,01/01/2010,,,exoplanet, ,,0,,
HR 8799,1784,346.869659,21.134251000000006,3.94e-08,4,01/01/2008,,,exoplanet, ,,0,,
2MASS J02192210-3925225,593,34.842106,-39.42292800000001,3.94e-08,1,01/01/2015,,,exoplanet, ,,0,,
30 Ari B,2413,39.240584999999996,24.648064,3.94e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 28185,1737,66.609673,-10.550821000000001,3.96e-08,1,01/01/2001,,,exoplanet, ,,0,,
HD 6434,76,16.167295000000006,-39.488215999999994,4.0300000000000004e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 114762,263,198.08226000000002,17.517122,4.059999999999999e-08,1,01/01/1989,,,exoplanet, ,,0,,
