name,Unnamed: 0,date,dec,dist,mabs,mapp,ra,subtype,type,commentary,importance,teff_val,mass
SL-14R/B,146,1991-01-01,-54.20401071711194,2.2744511848599905e-19,,,135.8029662044582,special,satellite, ,0,,
ERS-1,147,1991-01-01,56.78709734744852,2.312630019342293e-19,,,345.91803251599885,special,satellite, ,0,,
ARIANE40R/B,148,1991-01-01,23.06698142544714,2.312514239582601e-19,,,264.7983921926835,special,satellite, ,0,,
INTERCOSMOS25,149,1991-01-01,31.64366766328082,2.972294692240941e-19,,,356.8838453816868,special,satellite, ,0,,
SL-14R/B,150,1991-01-01,-65.47793056064292,2.906951881138081e-19,,,224.22984238701758,special,satellite, ,0,,
SL-8R/B,151,1992-01-01,-50.99140925162506,2.3784888665858704e-19,,,169.07515443224088,special,satellite, ,0,,
SL-8R/B,152,1992-01-01,30.18215899938143,2.377733856230611e-19,,,237.34239357808707,special,satellite, ,0,,
SL-16R/B,153,1992-01-01,39.64011280727436,2.3401810949534227e-19,,,95.01366463985683,special,satellite, ,0,,
SL-16R/B,154,1992-01-01,-14.563135458485524,2.339062871393729e-19,,,273.0667091262535,special,satellite, ,0,,
COSMOS2228,155,1992-01-01,2.1719594075486595,2.259558527870834e-19,,,174.05362424784664,special,satellite, ,0,,
SL-16R/B,156,1993-01-01,-16.138103631156607,2.3381288446918724e-19,,,127.3415452382494,special,satellite, ,0,,
COSMOS2242,157,1993-01-01,-16.191225289557227,2.2652230561024567e-19,,,19.89354380810776,special,satellite, ,0,,
SL-16R/B,158,1993-01-01,-48.298545586085254,2.3382940945963987e-19,,,323.46643391512333,special,satellite, ,0,,
ARIANE40R/B,159,1993-01-01,-69.19168470612316,2.322595780431267e-19,,,258.90311357103235,special,satellite, ,0,,
COSMOS2278,160,1994-01-01,-31.457083325665607,2.34164456174252e-19,,,70.21326765433561,special,satellite, ,0,,
SL-16R/B,161,1994-01-01,42.010157149723184,2.3414527717242634e-19,,,174.90131634321222,special,satellite, ,0,,
SL-16R/B,162,1994-01-01,-17.079257201091227,2.2752325572000563e-19,,,253.2904586491737,special,satellite, ,0,,
SL-16R/B,163,1994-01-01,-22.58393581503108,2.3396090036353595e-19,,,80.3383643309303,special,satellite, ,0,,
ERS-2,164,1995-01-01,48.54343898663969,2.229181651972557e-19,,,87.00334738011456,special,satellite, ,0,,
ARIANE40+R/B,165,1995-01-01,53.97076223913347,2.3133913129420227e-19,,,53.7901841645769,special,satellite, ,0,,
SL-16R/B,166,1995-01-01,-63.25272619990878,2.340589387813781e-19,,,221.73156065775984,special,satellite, ,0,,
SL-16R/B,167,1996-01-01,-19.628636317707574,2.343332373271369e-19,,,120.49760956122658,special,satellite, ,0,,
ORBVIEW2(SEASTAR),168,1997-01-01,73.9236299849453,2.3194917832415605e-19,,,283.06364808300066,special,satellite, ,0,,
SL-16R/B,169,1998-01-01,-15.160071911981316,2.3305343883362034e-19,,,149.71268468455682,special,satellite, ,0,,
SL-16R/B,170,1998-01-01,21.587922200797124,2.340996913617541e-19,,,88.24348548760047,special,satellite, ,0,,
SL-8R/B,172,1999-01-01,-29.028793914879998,2.193650933452526e-19,,,140.50702463892318,special,satellite, ,0,,
CZ-4BR/B,173,1999-01-01,-14.74156432321233,2.34573057567942e-19,,,35.313203647541926,special,satellite, ,0,,
OKEAN-O,174,1999-01-01,-51.88871727828368,2.2746216447722835e-19,,,212.81946375462533,special,satellite, ,0,,
SL-16R/B,175,1999-01-01,-1.4084952636859835,2.2699903348087795e-19,,,6.049140793904607,special,satellite, ,0,,
TERRA,176,1999-01-01,-49.81790163627338,2.294814269356327e-19,,,289.8308822094738,special,satellite, ,0,,
ENVISAT,177,2002-01-01,50.82211219471366,2.3147772724125307e-19,,,68.07678020761215,special,satellite, ,0,,
IDEFIX&ARIANE42PR/B,178,2002-01-01,-4.282120967480668,2.326139265957067e-19,,,190.13766045370392,special,satellite, ,0,,
AQUA,179,2002-01-01,-24.56774151386281,2.2944023819647684e-19,,,150.32988809945422,special,satellite, ,0,,
CZ-4BR/B,180,2002-01-01,-68.79277906745722,2.339789311055353e-19,,,343.7407580650942,special,satellite, ,0,,
MIDORIII(ADEOS-II),181,2002-01-01,13.72671732356342,2.3263029492355325e-19,,,346.7420206999749,special,satellite, ,0,,
H-2AR/B,182,2002-01-01,-55.759059877050746,2.3122507607851944e-19,,,70.96761977707935,special,satellite, ,0,,
CZ-4BR/B,183,2003-01-01,-63.053313868491706,2.3107815232891164e-19,,,120.69421881420723,special,satellite, ,0,,
CZ-2CR/B,184,2004-01-01,68.35345914058482,2.2513452312552067e-19,,,141.75725674592775,special,satellite, ,0,,
SL-16R/B,185,2004-01-01,69.05723727169348,2.342409300254657e-19,,,69.79906260876459,special,satellite, ,0,,
CZ-2CR/B,186,2004-01-01,12.204426838131216,2.3075494356880714e-19,,,102.62399823656116,special,satellite, ,0,,
ARIANE5R/B,187,2004-01-01,73.1973069902977,2.2777398370289e-19,,,143.68513151108542,special,satellite, ,0,,
CZ-2DR/B,188,2005-01-01,-82.53911797809974,2.2418855378256683e-19,,,325.93077234266036,special,satellite, ,0,,
SUZAKU(ASTRO-EII),189,2005-01-01,22.39891545068776,2.233318986801968e-19,,,248.76864480096557,special,satellite, ,0,,
ALOS(DAICHI),190,2006-01-01,54.35761793208089,2.288696480356239e-19,,,206.08192114159576,special,satellite, ,0,,
H-2AR/B,191,2006-01-01,42.29079386523028,2.2410897031997565e-19,,,143.19884911096557,special,satellite, ,0,,
AKARI(ASTRO-F),192,2006-01-01,17.366715992440884,2.239709023781502e-19,,,92.5126590753792,special,satellite, ,0,,
RESURS-DK1,193,2006-01-01,-61.24649641691462,2.248680585805236e-19,,,111.64644902967598,special,satellite, ,0,,
GENESIS1,194,2006-01-01,62.300435582492774,2.243360849768605e-19,,,115.87396009763815,special,satellite, ,0,,
CZ-4BR/B,195,2006-01-01,10.834393155155645,2.2421926514698003e-19,,,216.7930243441296,special,satellite, ,0,,
CZ-2CR/B,196,2007-01-01,69.84177604517375,2.3269506199118036e-19,,,67.86769335149395,special,satellite, ,0,,
COSMO-SKYMED1,197,2007-01-01,-78.90789515337582,2.269145629760335e-19,,,163.871722401825,special,satellite, ,0,,
GENESIS2,198,2007-01-01,24.98277081096241,2.238779545177486e-19,,,256.86503815784147,special,satellite, ,0,,
COSMOS2428,199,2007-01-01,-60.33315788937386,2.342436013752473e-19,,,250.69707000739868,special,satellite, ,0,,
SL-16R/B,200,2007-01-01,-53.785532485844975,2.340137674531305e-19,,,111.84520205165113,special,satellite, ,0,,
KORONAS-FOTON,201,2009-01-01,17.05356622212828,2.2388767036287165e-19,,,194.98438354657887,special,satellite, ,0,,
H-2AR/B,202,2012-01-01,39.97711832574055,2.2684814533602503e-19,,,302.6694433993013,special,satellite, ,0,,
CUSAT2&FALCON9R/B,203,2013-01-01,-26.47250649515452,2.361097527070032e-19,,,285.2096968817048,special,satellite, ,0,,
ALOS-2,204,2014-01-01,19.451770434039076,2.27141497845456e-19,,,125.16469792351826,special,satellite, ,0,,
SL-27R/B,205,2014-01-01,53.3429090963817,2.2196561256294308e-19,,,43.301773883842145,special,satellite, ,0,,
ASTRO-H(HITOMI),206,2016-01-01,-6.643032472194528,2.254180257733693e-19,,,277.4027292351673,special,satellite, ,0,,
SHENZHOU-11MODULE,208,2016-01-01,1.1779126807743945,2.1805222228298486e-19,,,84.62844992741823,special,satellite, ,0,,
FENGYUN1C,209,1999-01-01,-80.63820282845711,2.3412554201676727e-19,,,269.8500028412189,debris,satellite, ,0,,
FENGYUN1CDEB,210,1999-01-01,78.2640204712242,2.6268537276082966e-19,,,235.8868058515824,debris,satellite, ,0,,
FENGYUN1CDEB,211,1999-01-01,28.06571442125346,2.3383311790142856e-19,,,200.21253083407044,debris,satellite, ,0,,
FENGYUN1CDEB,212,1999-01-01,-77.95322423105713,2.4282739491823157e-19,,,247.112410805528,debris,satellite, ,0,,
FENGYUN1CDEB,213,1999-01-01,56.24193197397486,2.67751060022498e-19,,,131.50052194314935,debris,satellite, ,0,,
FENGYUN1CDEB,214,1999-01-01,43.38431424091053,2.382670210401477e-19,,,54.32725107169678,debris,satellite, ,0,,
FENGYUN1CDEB,215,1999-01-01,-57.12669514893226,2.3266974805664136e-19,,,146.44479967461288,debris,satellite, ,0,,
FENGYUN1CDEB,216,1999-01-01,-75.55279235784387,2.7812134154846646e-19,,,119.050445436799,debris,satellite, ,0,,
FENGYUN1CDEB,217,1999-01-01,52.81136697776112,2.865424499625482e-19,,,291.2368933038576,debris,satellite, ,0,,
FENGYUN1CDEB,218,1999-01-01,-52.324526256016156,2.327007594007077e-19,,,168.0427193940326,debris,satellite, ,0,,
FENGYUN1CDEB,219,1999-01-01,-34.13491242800005,2.8113145858651426e-19,,,253.71746353512557,debris,satellite, ,0,,
FENGYUN1CDEB,220,1999-01-01,-47.34201317395882,2.3399229943070874e-19,,,240.55418108279343,debris,satellite, ,0,,
FENGYUN1CDEB,221,1999-01-01,55.60070759688962,2.314363569780987e-19,,,217.29434267380697,debris,satellite, ,0,,
FENGYUN1CDEB,222,1999-01-01,-36.97435875533392,2.2985423021856296e-19,,,40.47506387204191,debris,satellite, ,0,,
FENGYUN1CDEB,223,1999-01-01,-36.06687493741264,2.3354837842872675e-19,,,294.8405974419266,debris,satellite, ,0,,
FENGYUN1CDEB,224,1999-01-01,-4.363869826589163,2.30716503736187e-19,,,167.90943074625284,debris,satellite, ,0,,
FENGYUN1CDEB,225,1999-01-01,26.53499543952875,2.3434402003994464e-19,,,259.15484432647054,debris,satellite, ,0,,
FENGYUN1CDEB,226,1999-01-01,60.88790255068971,2.373485910138419e-19,,,216.40147304872585,debris,satellite, ,0,,
FENGYUN1CDEB,227,1999-01-01,15.94718838128475,2.374652996518634e-19,,,239.21803795900317,debris,satellite, ,0,,
FENGYUN1CDEB,228,1999-01-01,-47.76092202304818,2.3491094497775548e-19,,,254.5310579060433,debris,satellite, ,0,,
FENGYUN1CDEB,229,1999-01-01,-80.74435963773062,2.35928713005151e-19,,,331.52609256691943,debris,satellite, ,0,,
FENGYUN1CDEB,230,1999-01-01,-80.30953699165795,2.384775870257727e-19,,,55.98330161120514,debris,satellite, ,0,,
FENGYUN1CDEB,231,1999-01-01,20.83744089342264,2.4145944449873147e-19,,,264.2263944031071,debris,satellite, ,0,,
FENGYUN1CDEB,232,1999-01-01,-69.39042189860875,2.3684350464557607e-19,,,214.2698877386106,debris,satellite, ,0,,
