,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
23510,SN2014B,NGC 4939,1.07375,-10.33366667,02/01/2014,9.71E+12,-16.315,17,supernova,II P,0.01037
23650,PSN J14041297-0938168,IC 4363,1.054166667,-9.638,20/12/2013,2.65E+12,-13.99,16.5,supernova,IIn,0.002829
23716,SN2013hg,A120955+2953,2.482083333,29.89758333,10/12/2013,1.91E+12,-14.57,15.2,supernova,Ia,0.002031
24249,SN2013fv,UGC 2789,9.067083333,67.57102778,11/10/2013,9.79E+12,-15.8329,17.5,supernova,II,0.010457
24539,GRB 130907A,,5.897916667,45.602,07/09/2013,8.43E+14,,,supernova,LGRB,1.238
24702,SN2013ex,NGC 1954,83.19425,-14.04594722,19/08/2013,9.78E+12,-18.8896,14.44,supernova,Ia,0.010441
24728,SN2013eu,UGC 5609,6.092916667,78.60652778,11/08/2013,8.68E+12,-17.97,15.1,supernova,Ia,0.009266
24867,SN2013dy,NGC 7250,4.573333333,40.56933333,10/07/2013,3.65E+12,-18.381,12.8,supernova,Ia,0.003889
24908,GRB 130701A,,12.22416667,36.1,01/07/2013,8.03E+14,,,supernova,LGRB,1.155
25040,GRB 130606A,,9.39,29.796,06/06/2013,1.80E+15,,,supernova,LGRB,5.91
25129,GRB 130511A,,1.654166667,18.709,11/05/2013,8.72E+14,,,supernova,LGRB,1.3033
25130,SN2013ct,NGC 428,18.22883333,0.979361111,10/05/2013,3.60E+12,-18.955,12.2,supernova,Ia,0.003843
25156,SN2013cg,NGC 2891,6.736666667,-24.78322222,06/05/2013,7.45E+12,-19.437,13.3,supernova,Ia,0.007952
25157,SN2013co,A125550+3030,13.96041667,30.51152778,06/05/2013,4.61E+13,-19.04,17.7,supernova,Ic,0.049724
25221,SN2013by,ESO 138-G10,14.76,-60.19494444,23/04/2013,3.58E+12,-18.38,12.47,supernova,II,0.003816
25231,GRB 130420A,,1.117916667,59.421,20/04/2013,8.70E+14,,,supernova,LGRB,1.297
25245,GRB 130418A,,14.045,13.674,18/04/2013,8.33E+14,,,supernova,LGRB,1.218
25290,GRB 130408A,,14.39791667,-32.363,08/04/2013,1.53E+15,,,supernova,LGRB,3.758
25382,SN2013am,NGC 3623,169.7372917,13.06372222,21/03/2013,2.52E+12,-15.492,14.89,supernova,II,0.002692
25581,PS1-13or,,13.66791667,2.195066667,02/02/2013,9.64E+14,-22.63,21.65,supernova,,1.52
25604,GRB 130131B,,8.957083333,15.033,31/01/2013,1.29E+15,,,supernova,LGRB,2.539
25631,SN2013K,ESO 9-G10,9.88125,-85.31058333,20/01/2013,7.56E+12,-15.068,17.7,supernova,II P,0.008066
25682,SN2013E,IC 2532,0.022916667,-34.23369444,04/01/2013,8.82E+12,-19.244,13.86,supernova,Ia,0.009413
25742,SN2012ht,NGC 3447,13.345,16.77636111,18/12/2012,3.34E+12,-18.079,12.91,supernova,Ia,0.003559
25752,SN2012hs,ESO 213-G2,12.31125,-47.91266667,15/12/2012,6.02E+12,-17.773,14.5,supernova,II,0.006424
26008,SN2012fh,NGC 3344,10.89166667,24.89138889,18/10/2012,1.82E+12,-17.684,11.98,supernova,Ic,0.001935
26092,PS1-12bmy,,8.554583333,-26.52144722,04/10/2012,9.85E+14,-22.315,22.03,supernova,,1.572
26246,SN2012es,NGC 5597,6.12125,-16.76088889,12/08/2012,8.38E+12,-17.19,15.8,supernova,IIb,0.00895
26250,SN2012ec,NGC 1084,41.49954167,-7.573611111,11/08/2012,4.40E+12,-18,13.59,supernova,II P,0.004693
26271,PTF12hmx,,11.7875,0.174444444,07/08/2012,7.83E+13,-19.12,18.8,supernova,Ia,0.0851
26272,PTF12hni,,7.982916667,-6.796944444,07/08/2012,9.67E+13,-19.952,18.45,supernova,Ic,0.1056
26299,SN2009ip,NGC 7259,335.7845833,-28.94777778,24/07/2012,5.57E+12,-20.094,12.01,supernova,IIn,0.005944
26302,GRB 120724A,,5.192916667,3.535,24/07/2012,9.48E+14,,,supernova,LGRB,1.48
26482,SN2012cg,NGC 4424,6.803333333,9.420333333,17/05/2012,1.37E+12,-17.35,11.7,supernova,Ia,0.001458
26518,PTF12egm,,13.42458333,47.29525,14/05/2012,9.24E+13,-18.399,19.9,supernova,Ia,0.1008
26533,PTF12efk,,6.182916667,31.86031667,11/05/2012,8.55E+13,-18.87,19.25,supernova,II,0.0931
26560,SN2012cc,NGC 4419,6.736666667,15.04597222,29/04/2012,8.01E+11,,15,supernova,II,-0.0008536
26811,SN2012aw,NGC 3351,160.9738958,11.67156389,16/03/2012,2.43E+12,-18.342,11.96,supernova,II P,0.002595
27111,SN2012A,NGC 3239,6.280833333,17.15405556,07/01/2012,1.87E+12,-17.13,12.6,supernova,II P,0.00199
27168,GRB 111229A,,1.560833333,-84.687,29/12/2011,9.06E+14,,,supernova,LGRB,1.3805
27231,PS1-11bdn,,6.442916667,-5.065713889,01/12/2011,5.73E+14,-22.21,20.54,supernova,,0.738
27325,PS1-11bam,,10.30916667,44.03248611,13/11/2011,9.82E+14,-22.446,21.89,supernova,,1.565
27628,SN2011fe,NGC 5457,210.7737958,54.27367222,24/08/2011,7.54E+11,-18.28,9.48,supernova,Ia,0.000804
27667,GRB 110808A,,12.32208333,-44.177,08/08/2011,8.92E+14,,,supernova,LGRB,1.348
27696,GRB 110731A,,10.51291667,-28.536,31/07/2011,1.36E+15,,,supernova,LGRB,2.83
27717,GRB 110726A,,1.712916667,56.07,26/07/2011,7.43E+14,,,supernova,LGRB,1.036
27768,PSN J22060421+4715403,UGC 11909,1.5175,47.26116667,07/07/2011,3.04E+12,-11.888,18.9,supernova,,0.003245
27785,PS1-11aib,,4.550833333,1.558891667,29/06/2011,7.22E+14,-21.98,21.42,supernova,,0.997
28255,SN2011at,MCG -02-24-27,142.2398333,-14.80572222,10/03/2011,6.33E+12,-18.293,14.09,supernova,Ia,0.006758
28272,SNhunt44,UGC 7577,6.92125,43.495,08/03/2011,5.50E+11,,,supernova,LRV?,0.0005864
28339,SN2011ae,MCG -03-30-19,178.7052083,-16.86211111,12/02/2011,5.67E+12,-19.141,13,supernova,Ia,0.006046
28483,PTF11ao,,119.9904583,33.30080556,11/01/2011,9.93E+13,-18.942,19.52,supernova,Ia,0.1085
28497,SN2011B,NGC 2655,133.9504167,78.21711111,07/01/2011,4.38E+12,-19.19,12.39,supernova,Ia,0.00467
28785,SN Primo,,53.158375,-27.77752222,10/10/2010,9.74E+14,-20.31,24,supernova,Ia,1.545
28948,PS1-10afx,,332.850675,0.162080556,31/08/2010,9.10E+14,-20.3634,23.73,supernova,Lensed SN Ia,1.3883
29064,PS1-11tt,,243.1907417,54.07137778,29/07/2010,8.63E+14,-21.277,22.654,supernova,SLSN-I,1.283
29065,GRB 100728A,,13.75291667,-15.259,28/07/2010,9.83E+14,,,supernova,LGRB,1.567
29121,PTF10nkd,,236.3392083,52.23069444,01/07/2010,6.25E+13,-17.93,19.49,supernova,Ia,0.0676
29131,PTF10nda,,209.2905417,61.25252778,27/06/2010,9.23E+13,-19.2363,19.06,supernova,Ia,0.10067
29170,GRB 100615A,,12.20791667,-19.483,15/06/2010,9.14E+14,,,supernova,LGRB,1.398
29233,PTF10icb,MCG +10-19-01,193.7048333,58.88197222,30/05/2010,8.00E+12,-18.813,14.08,supernova,Ia,0.008544
29252,PTF10ifj,,214.841375,34.35397222,20/05/2010,7.05E+13,-19.328,18.36,supernova,Ia,0.07647
29359,PTF10fxp,,205.6783333,65.30202778,25/04/2010,9.57E+13,-19.1377,19.24,supernova,Ia,0.10443
29364,GRB 100424A,,14.45291667,1.512,24/04/2010,1.27E+15,,,supernova,LGRB,2.465
29444,SN2010as,NGC 6000,12.455,-29.38602778,19/03/2010,6.85E+12,-17,15.2,supernova,Ib/c,0.007315
29462,GRB 100316B,,13.49916667,-45.464,16/03/2010,8.15E+14,,,supernova,LGRB,1.18
29523,SN2010ae,ESO 162-G17,3.9775,-57.34358333,22/02/2010,3.43E+12,-14,15.9,supernova,Ia-02cx,0.003662
29847,GRB 090926B,,1.31,-38.997,26/09/2009,8.44E+14,,,supernova,LGRB,1.24
29903,SN2009ig,NGC 1015,39.54841667,-1.312583333,20/08/2009,7.77E+12,-19.6,13,supernova,Ia,0.00829
29907,PSN J03320724+4747396,UGC 2773,8.03,47.79433333,18/08/2009,9.29E+11,-10.6,17.6,supernova,II/LBV,0.00099
30086,GRB 090429B,,0.672083333,32.167,29/04/2009,2.04E+15,,,supernova,LGRB,9.4
30102,GRB 090423A,,13.89083333,18.165,23/04/2009,1.96E+15,,,supernova,LGRB,8
30117,GRB 090418A,,14.32,33.407,18/04/2009,9.99E+14,,,supernova,LGRB,1.608
30129,GRB 090407A,,8.979166667,-12.684,07/04/2009,9.35E+14,,,supernova,LGRB,1.4485
30244,COVET-090218F,,7.62625,14.05022222,18/02/2009,3.75E+11,-3.1,23.1,supernova,,0.0004
30284,SN2009N,NGC 4487,187.7894167,-8.048972222,24/01/2009,3.23E+12,-15.9,15.34,supernova,II P,0.003449
30310,GRB 090102A,,8.247916667,33.107,02/01/2009,9.75E+14,,,supernova,LGRB,1.547
30372,SN2008hy,IC 334,56.28520833,76.66541667,06/12/2008,7.92E+12,-18.5,14.3,supernova,Ia,0.008459
30417,SN2008ha,UGC 12682,353.7195417,18.2265,07/11/2008,4.33E+12,-14,17.02,supernova,Ia-02cx,0.004623
30438,GRB 081029A,,1.775833333,-68.179,29/10/2008,1.55E+15,,,supernova,LGRB,3.8479
30461,SN2008ge,NGC 1527,2.102916667,-47.8965,08/10/2008,3.67E+12,-17.5,13.82,supernova,Ia-02cx,0.003916
30516,GRB 080913A,,5.740833333,-25.127,13/09/2008,1.85E+15,,,supernova,LGRB,6.44
30588,GRB 080805A,,14.23083333,-62.433,05/08/2008,9.58E+14,,,supernova,LGRB,1.505
30612,SNF20080725-004,,9.34125,19.93141667,25/07/2008,5.11E+13,-18.169,18.8,supernova,Ia,0.05519
30634,GRB 080710A,,8.259166667,19.484,10/07/2008,6.38E+14,,,supernova,LGRB,0.845
30723,SNF20080522-004,,197.8876083,-18.66447222,22/05/2008,9.73E+13,-18.6158,19.8,supernova,Ia,0.10624
30724,SN2008cn,NGC 4603,10.23208333,-40.97002778,21/05/2008,8.10E+12,-17,15.3,supernova,II,0.008647
30780,SN2008cd,NGC 5038,198.7572917,-15.95188889,29/04/2008,6.94E+12,-16.004,16.58,supernova,Ia,0.007412
30791,SN2008bv,UGC 4653,13.4775,35.14930556,19/04/2008,5.18E+13,-18.696,18.3,supernova,Ia,0.055865
