,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
47,47.0,,01/04/2018,-8.979543522963306,831149491.8804069,0.0,,,142.1678929370769,,,1.6357214584097997e+18,5.741443978428912e+18,,5377.0,star
77,77.0,,01/04/2018,-8.933045117479233,632455027.3709401,0.0,,,143.16131723391203,,,1.6357214584097997e+18,5.741612272427192e+18,,5356.6,star
89,89.0,,01/04/2018,-11.579476536454122,55720916.62004189,0.0,8.010235454385201,0.8522698600486542,137.82986807856506,,0.5911607,1.6357214584097997e+18,5.742119490885618e+18,,3560.0,star
27,27.0,,01/04/2018,-10.71450719111306,219073575.628377,0.0,,,138.00300149653563,,,1.6357214584097997e+18,5.742326508308951e+18,,,star
8,8.0,,01/04/2018,-9.977583686043893,405628149.1890797,0.0,0.4567124836305663,-11.011802280026133,137.7735583934588,58.47685689900739,10.366081,1.6357214584097997e+18,5.742625094435303e+18,,4840.027,star
96,96.0,,01/04/2018,85.32347569004159,511386322.7006588,0.0,,,46.02774819705081,,,1.6357214584097997e+18,5.743312731585427e+17,,,star
0,0.0,,01/04/2018,-9.88716043918854,669133512.3813511,0.0,,,138.74971783570078,,,1.6357214584097997e+18,5.742946289269629e+18,,5829.0,star
77,77.0,,01/04/2018,-9.487466029007775,187779969.61165172,0.0,,,137.65198892684134,,,1.6357214584097997e+18,5.743408526534654e+18,,5740.55,star
73,73.0,,01/04/2018,-9.061395138551418,308733938.4070192,0.0,5.574042003396173,-5.30175419620436,136.2002391450569,,0.68353957,1.6357214584097997e+18,5.743718112072741e+18,,5801.5,star
12,12.0,,01/04/2018,-8.459184376405634,177080122.0475735,0.0,4.448705876174625,-5.220017521121921,137.46816905315293,,1.0926011999999998,1.6357214584097997e+18,5.744102528825916e+18,,5946.0,star
9,9.0,,01/04/2018,-8.947680657386133,185558730.9340956,0.0,4.900216460012925,-4.870064842358307,140.8206886783575,,1.0818257,1.6357214584097997e+18,5.744400943153065e+18,,5385.5,star
18,18.0,,01/04/2018,-8.087946543686092,727293272.7311838,0.0,,,139.90774792679446,,,1.6357214584097997e+18,5.744748869863713e+18,,5944.0,star
16,16.0,,01/04/2018,-8.264944110215291,110478413.79322064,0.0,,,141.89927114284438,,,1.6357214584097997e+18,5.744909772223264e+18,,,star
29,29.0,,01/04/2018,-7.1044662217592585,70233567.24819624,0.0,,,141.5668417141856,,,1.6357214584097997e+18,5.745245883478519e+18,,,star
78,78.0,,01/04/2018,-7.730565683027158,67330192.79645486,0.0,,,139.84822670351795,,,1.6357214584097997e+18,5.745515504346373e+18,,,star
62,62.0,,01/04/2018,85.65595396963506,164126953.454518,0.0,5.977125336061026,-3.5266485387851034,38.13291762123622,,0.78043795,1.6357214584097997e+18,5.74549530513232e+17,,4948.17,star
28,28.0,,01/04/2018,-6.839850223987311,148663645.35936227,0.0,,,140.47065352028577,,,1.6357214584097997e+18,5.746054608641183e+18,,,star
67,67.0,,01/04/2018,-6.396990322328741,419625507.21302265,0.0,3.2911972776615617,-8.250986452474184,139.74420112514306,,2.0753334,1.6357214584097997e+18,5.746329349109222e+18,,5632.0,star
5,5.0,,01/04/2018,-13.643950097617884,250058632.6670429,0.0,3.0350053966994066,-7.383078197959431,129.30745544477634,,1.8710015,1.6357214584097997e+18,5.746706653397167e+18,,6292.0,star
80,80.0,,01/04/2018,-13.279739701764456,730421256.6340449,0.0,,,128.79708996927886,,,1.6357214584097997e+18,5.746932323862479e+18,,5797.0,star
